,Date,month,dayname,weekend,Hour,Hour_cat,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (mm),WEP (mm),Seasons,Holiday,Functioning Day,Rented Bike Count
34,2017-12-02,12,Saturday,1,10,Morning,-0.4,57,1.6,1309,-7.8,0.8,0.0,0.0,0.0,Winter,No Holiday,Yes,334
35,2017-12-02,12,Saturday,1,11,Morning,1.9,49,1.8,1406,-7.7,1.0,0.0,0.0,0.0,Winter,No Holiday,Yes,388
36,2017-12-02,12,Saturday,1,12,Morning,4.3,41,1.3,1666,-7.8,1.09,0.0,0.0,0.0,Winter,No Holiday,Yes,479
37,2017-12-02,12,Saturday,1,13,Afternoon,6.0,36,1.8,1780,-7.9,1.12,0.0,0.0,0.0,Winter,No Holiday,Yes,606
38,2017-12-02,12,Saturday,1,14,Afternoon,7.3,35,1.3,1955,-7.1,0.99,0.0,0.0,0.0,Winter,No Holiday,Yes,611
39,2017-12-02,12,Saturday,1,15,Afternoon,7.6,41,2.3,1953,-4.8,0.74,0.0,0.0,0.0,Winter,No Holiday,Yes,589
40,2017-12-02,12,Saturday,1,16,Afternoon,6.4,48,2.6,1945,-3.8,0.22,0.0,0.0,0.0,Winter,No Holiday,Yes,618
41,2017-12-02,12,Saturday,1,17,Afternoon,6.0,51,2.5,1891,-3.3,0.06,0.0,0.0,0.0,Winter,No Holiday,Yes,572
42,2017-12-02,12,Saturday,1,18,Evening,5.5,53,1.5,1697,-3.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,489
43,2017-12-02,12,Saturday,1,19,Evening,5.0,52,2.3,1666,-4.0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,385
44,2017-12-02,12,Saturday,1,20,Evening,4.6,51,1.2,1585,-4.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,359
45,2017-12-02,12,Saturday,1,21,Evening,4.1,55,1.2,1448,-4.1,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,377
46,2017-12-02,12,Saturday,1,22,Night,3.5,54,1.5,1446,-4.9,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,354
47,2017-12-02,12,Saturday,1,23,Night,4.0,56,1.0,1352,-4.0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,366
48,2017-12-03,12,Sunday,1,0,Dawn,4.0,58,1.4,1296,-3.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,342
49,2017-12-03,12,Sunday,1,1,Dawn,3.9,69,1.7,485,-1.2,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,227
50,2017-12-03,12,Sunday,1,2,Dawn,3.3,79,1.4,830,0.0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,228
51,2017-12-03,12,Sunday,1,3,Dawn,3.4,71,1.6,1011,-1.3,0.0,0.5,0.0,0.5,Winter,No Holiday,Yes,117
52,2017-12-03,12,Sunday,1,4,Dawn,3.5,73,1.0,1060,-0.8,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,76
53,2017-12-03,12,Sunday,1,5,Dawn,3.9,75,1.9,914,-0.1,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,32
54,2017-12-03,12,Sunday,1,6,Dawn,3.4,86,2.5,278,1.2,0.0,1.0,0.0,1.0,Winter,No Holiday,Yes,13
55,2017-12-03,12,Sunday,1,7,Early Morning,3.1,91,1.2,129,1.7,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,22
56,2017-12-03,12,Sunday,1,8,Early Morning,3.2,92,1.8,244,2.0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,85
57,2017-12-03,12,Sunday,1,9,Early Morning,3.5,91,1.8,231,2.1,0.02,2.5,0.0,2.5,Winter,No Holiday,Yes,152
58,2017-12-03,12,Sunday,1,10,Morning,4.4,89,2.2,257,2.7,0.24,0.0,0.0,0.0,Winter,No Holiday,Yes,200
59,2017-12-03,12,Sunday,1,11,Morning,5.1,87,1.4,321,3.1,0.25,0.0,0.0,0.0,Winter,No Holiday,Yes,273
60,2017-12-03,12,Sunday,1,12,Morning,5.8,85,1.7,349,3.4,0.43,0.0,0.0,0.0,Winter,No Holiday,Yes,333
61,2017-12-03,12,Sunday,1,13,Afternoon,6.8,81,1.9,390,3.7,0.6,0.0,0.0,0.0,Winter,No Holiday,Yes,495
62,2017-12-03,12,Sunday,1,14,Afternoon,7.6,76,1.2,422,3.6,0.69,0.0,0.0,0.0,Winter,No Holiday,Yes,563
63,2017-12-03,12,Sunday,1,15,Afternoon,8.0,73,1.6,433,3.4,0.53,0.0,0.0,0.0,Winter,No Holiday,Yes,621
64,2017-12-03,12,Sunday,1,16,Afternoon,7.6,77,1.6,399,3.8,0.2,0.0,0.0,0.0,Winter,No Holiday,Yes,598
65,2017-12-03,12,Sunday,1,17,Afternoon,6.7,82,1.5,358,3.8,0.05,0.0,0.0,0.0,Winter,No Holiday,Yes,545
66,2017-12-03,12,Sunday,1,18,Evening,6.0,84,1.9,327,3.4,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,443
67,2017-12-03,12,Sunday,1,19,Evening,5.7,85,1.7,309,3.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,422
68,2017-12-03,12,Sunday,1,20,Evening,5.2,87,1.4,253,3.2,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,397
69,2017-12-03,12,Sunday,1,21,Evening,4.7,87,1.2,247,2.7,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,385
70,2017-12-03,12,Sunday,1,22,Night,4.3,89,1.8,201,2.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,350
71,2017-12-03,12,Sunday,1,23,Night,3.9,90,1.3,194,2.4,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,303
72,2017-12-04,12,Monday,0,0,Dawn,4.2,88,0.6,216,2.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,285
73,2017-12-04,12,Monday,0,1,Dawn,4.3,87,0.5,221,2.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,186
74,2017-12-04,12,Monday,0,2,Dawn,4.4,87,1.8,207,2.4,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,112
75,2017-12-04,12,Monday,0,3,Dawn,3.6,85,2.3,206,1.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,65
76,2017-12-04,12,Monday,0,4,Dawn,2.8,89,1.5,130,1.1,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,41
77,2017-12-04,12,Monday,0,5,Dawn,2.0,83,2.7,253,-0.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,82
78,2017-12-04,12,Monday,0,6,Dawn,1.2,76,3.7,371,-2.5,0.0,0.1,0.0,0.1,Winter,No Holiday,Yes,200
79,2017-12-04,12,Monday,0,7,Early Morning,0.2,68,3.4,702,-5.0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,498
80,2017-12-04,12,Monday,0,8,Early Morning,-0.8,69,3.5,954,-5.7,0.01,0.0,0.0,0.0,Winter,No Holiday,Yes,937
81,2017-12-04,12,Monday,0,9,Early Morning,-1.5,47,4.2,1888,-11.3,0.22,0.0,0.0,0.0,Winter,No Holiday,Yes,509
82,2017-12-04,12,Monday,0,10,Morning,-1.1,40,4.5,2000,-13.0,0.64,0.0,0.0,0.0,Winter,No Holiday,Yes,311
83,2017-12-04,12,Monday,0,11,Morning,-0.5,41,4.1,1799,-12.1,0.94,0.0,0.0,0.0,Winter,No Holiday,Yes,379
84,2017-12-04,12,Monday,0,12,Morning,-0.3,38,4.8,1823,-12.9,1.11,0.0,0.0,0.0,Winter,No Holiday,Yes,393
85,2017-12-04,12,Monday,0,13,Afternoon,0.0,30,5.4,1938,-15.5,1.17,0.0,0.0,0.0,Winter,No Holiday,Yes,391
86,2017-12-04,12,Monday,0,14,Afternoon,0.1,27,4.5,2000,-16.7,1.09,0.0,0.0,0.0,Winter,No Holiday,Yes,338
87,2017-12-04,12,Monday,0,15,Afternoon,-0.1,25,5.8,2000,-17.8,0.88,0.0,0.0,0.0,Winter,No Holiday,Yes,341
88,2017-12-04,12,Monday,0,16,Afternoon,-0.2,23,4.7,2000,-18.8,0.55,0.0,0.0,0.0,Winter,No Holiday,Yes,375
89,2017-12-04,12,Monday,0,17,Afternoon,-1.3,26,5.3,2000,-18.3,0.18,0.0,0.0,0.0,Winter,No Holiday,Yes,515
90,2017-12-04,12,Monday,0,18,Evening,-2.1,29,3.9,2000,-17.7,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,807
91,2017-12-04,12,Monday,0,19,Evening,-2.9,32,3.2,2000,-17.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,568
92,2017-12-04,12,Monday,0,20,Evening,-3.6,38,3.0,2000,-15.8,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,398
93,2017-12-04,12,Monday,0,21,Evening,-4.6,43,4.5,2000,-15.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,397
94,2017-12-04,12,Monday,0,22,Night,-5.3,45,2.5,2000,-15.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,353
95,2017-12-04,12,Monday,0,23,Night,-5.8,44,2.4,2000,-16.1,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,248
96,2017-12-05,12,Tuesday,0,0,Dawn,-6.1,42,2.6,2000,-16.9,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,216
97,2017-12-05,12,Tuesday,0,1,Dawn,-6.5,41,2.8,2000,-17.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,198
98,2017-12-05,12,Tuesday,0,2,Dawn,-6.8,41,2.5,2000,-17.8,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,124
99,2017-12-05,12,Tuesday,0,3,Dawn,-6.9,39,2.0,2000,-18.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,62
100,2017-12-05,12,Tuesday,0,4,Dawn,-7.2,34,3.0,2000,-20.4,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,42
101,2017-12-05,12,Tuesday,0,5,Dawn,-7.4,33,2.6,2000,-20.9,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,82
102,2017-12-05,12,Tuesday,0,6,Dawn,-7.4,34,3.2,2000,-20.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,172
103,2017-12-05,12,Tuesday,0,7,Early Morning,-7.5,33,2.2,2000,-21.0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,381
104,2017-12-05,12,Tuesday,0,8,Early Morning,-8.1,36,1.6,2000,-20.5,0.01,0.0,0.0,0.0,Winter,No Holiday,Yes,812
105,2017-12-05,12,Tuesday,0,9,Early Morning,-7.6,31,1.3,1974,-21.8,0.21,0.0,0.0,0.0,Winter,No Holiday,Yes,462
106,2017-12-05,12,Tuesday,0,10,Morning,-5.5,26,2.8,1967,-22.0,0.64,0.0,0.0,0.0,Winter,No Holiday,Yes,269
107,2017-12-05,12,Tuesday,0,11,Morning,-3.9,25,0.0,1959,-21.0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,334
108,2017-12-05,12,Tuesday,0,12,Morning,-2.3,25,0.0,1962,-19.7,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,321
109,2017-12-05,12,Tuesday,0,13,Afternoon,-1.6,27,0.0,1955,-18.2,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,325
110,2017-12-05,12,Tuesday,0,14,Afternoon,-1.1,28,0.0,2000,-17.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,334
111,2017-12-05,12,Tuesday,0,15,Afternoon,-0.7,28,0.0,2000,-16.9,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,353
112,2017-12-05,12,Tuesday,0,16,Afternoon,-0.5,30,0.0,2000,-16.0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,435
113,2017-12-05,12,Tuesday,0,17,Afternoon,-1.6,35,0.0,2000,-15.1,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,529
114,2017-12-05,12,Tuesday,0,18,Evening,-2.6,40,0.0,2000,-14.4,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,789
115,2017-12-05,12,Tuesday,0,19,Evening,-3.2,45,0.0,2000,-13.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,597
116,2017-12-05,12,Tuesday,0,20,Evening,-3.5,46,0.0,2000,-13.4,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,418
117,2017-12-05,12,Tuesday,0,21,Evening,-3.7,47,0.0,2000,-13.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,415
118,2017-12-05,12,Tuesday,0,22,Night,-2.8,49,0.0,2000,-12.0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,393
119,2017-12-05,12,Tuesday,0,23,Night,-2.5,59,0.0,1210,-9.4,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,244
120,2017-12-06,12,Wednesday,0,0,Dawn,-2.8,77,0.0,331,-6.2,0.0,0.1,0.01,0.11,Winter,No Holiday,Yes,145
121,2017-12-06,12,Wednesday,0,1,Dawn,-3.0,79,0.0,293,-6.1,0.0,0.0,0.03,0.03,Winter,No Holiday,Yes,144
122,2017-12-06,12,Wednesday,0,2,Dawn,-3.0,79,0.0,1862,-6.1,0.0,0.0,0.04,0.04,Winter,No Holiday,Yes,117
123,2017-12-06,12,Wednesday,0,3,Dawn,-3.2,78,0.0,1808,-6.4,0.0,0.2,0.04,0.24000000000000002,Winter,No Holiday,Yes,78
124,2017-12-06,12,Wednesday,0,4,Dawn,-3.4,75,0.0,1982,-7.2,0.0,0.0,0.04,0.04,Winter,No Holiday,Yes,58
125,2017-12-06,12,Wednesday,0,5,Dawn,-3.6,76,0.0,1934,-7.2,0.0,0.0,0.04,0.04,Winter,No Holiday,Yes,87
126,2017-12-06,12,Wednesday,0,6,Dawn,-3.7,76,0.0,1864,-7.3,0.0,0.0,0.04,0.04,Winter,No Holiday,Yes,142
127,2017-12-06,12,Wednesday,0,7,Early Morning,-4.2,77,0.0,1741,-7.6,0.0,0.0,0.03,0.03,Winter,No Holiday,Yes,379
128,2017-12-06,12,Wednesday,0,8,Early Morning,-4.2,78,0.0,1518,-7.4,0.01,0.0,0.02,0.02,Winter,No Holiday,Yes,802
129,2017-12-06,12,Wednesday,0,9,Early Morning,-3.3,70,0.0,1324,-7.9,0.25,0.0,0.02,0.02,Winter,No Holiday,Yes,440
130,2017-12-06,12,Wednesday,0,10,Morning,-0.9,64,0.0,1224,-6.8,0.63,0.0,0.02,0.02,Winter,No Holiday,Yes,307
131,2017-12-06,12,Wednesday,0,11,Morning,1.6,57,1.2,1261,-6.0,0.93,0.0,0.0,0.0,Winter,No Holiday,Yes,381
132,2017-12-06,12,Wednesday,0,12,Morning,2.4,52,0.9,1224,-6.4,1.08,0.0,0.0,0.0,Winter,No Holiday,Yes,405
133,2017-12-06,12,Wednesday,0,13,Afternoon,4.2,47,1.1,1469,-6.1,1.1,0.0,0.0,0.0,Winter,No Holiday,Yes,442
134,2017-12-06,12,Wednesday,0,14,Afternoon,5.5,34,1.0,1966,-9.1,0.96,0.0,0.0,0.0,Winter,No Holiday,Yes,416
135,2017-12-06,12,Wednesday,0,15,Afternoon,5.5,31,3.1,1968,-10.3,0.72,0.0,0.0,0.0,Winter,No Holiday,Yes,412
136,2017-12-06,12,Wednesday,0,16,Afternoon,5.3,37,2.9,2000,-8.2,0.36,0.0,0.0,0.0,Winter,No Holiday,Yes,496
137,2017-12-06,12,Wednesday,0,17,Afternoon,4.1,60,2.5,1565,-2.9,0.1,0.0,0.0,0.0,Winter,No Holiday,Yes,239
138,2017-12-06,12,Wednesday,0,18,Evening,1.7,90,1.0,66,0.2,0.0,0.3,0.03,0.32999999999999996,Winter,No Holiday,Yes,204
139,2017-12-06,12,Wednesday,0,19,Evening,1.2,92,0.7,180,0.0,0.0,0.0,0.1,0.1,Winter,No Holiday,Yes,205
140,2017-12-06,12,Wednesday,0,20,Evening,1.2,94,0.6,228,0.3,0.0,0.0,0.1,0.1,Winter,No Holiday,Yes,190
141,2017-12-06,12,Wednesday,0,21,Evening,1.1,92,0.5,235,0.0,0.0,0.7,0.1,0.7999999999999999,Winter,No Holiday,Yes,165
142,2017-12-06,12,Wednesday,0,22,Night,1.3,92,0.6,233,0.1,0.0,0.0,0.1,0.1,Winter,No Holiday,Yes,222
143,2017-12-06,12,Wednesday,0,23,Night,1.3,92,0.6,209,0.1,0.0,0.0,0.1,0.1,Winter,No Holiday,Yes,193
144,2017-12-07,12,Thursday,0,0,Dawn,1.4,92,0.5,240,0.2,0.0,0.0,0.09,0.09,Winter,No Holiday,Yes,198
145,2017-12-07,12,Thursday,0,1,Dawn,1.5,92,0.4,227,0.3,0.0,0.0,0.09,0.09,Winter,No Holiday,Yes,218
146,2017-12-07,12,Thursday,0,2,Dawn,1.4,92,0.7,168,0.2,0.0,0.0,0.09,0.09,Winter,No Holiday,Yes,149
147,2017-12-07,12,Thursday,0,3,Dawn,1.9,91,1.4,218,0.5,0.0,0.0,0.09,0.09,Winter,No Holiday,Yes,102
148,2017-12-07,12,Thursday,0,4,Dawn,1.6,92,0.7,119,0.4,0.0,0.0,0.09,0.09,Winter,No Holiday,Yes,62
149,2017-12-07,12,Thursday,0,5,Dawn,1.5,92,1.1,175,0.3,0.0,0.0,0.09,0.09,Winter,No Holiday,Yes,83
150,2017-12-07,12,Thursday,0,6,Dawn,1.0,93,0.5,148,0.0,0.0,0.0,0.09,0.09,Winter,No Holiday,Yes,137
151,2017-12-07,12,Thursday,0,7,Early Morning,0.3,93,0.5,173,-0.7,0.0,0.0,0.09,0.09,Winter,No Holiday,Yes,367
152,2017-12-07,12,Thursday,0,8,Early Morning,-0.2,96,0.8,173,-0.7,0.01,0.0,0.08,0.08,Winter,No Holiday,Yes,754
153,2017-12-07,12,Thursday,0,9,Early Morning,0.1,91,0.8,265,-1.1,0.14,0.0,0.08,0.08,Winter,No Holiday,Yes,415
154,2017-12-07,12,Thursday,0,10,Morning,1.1,83,0.7,311,-1.4,0.41,0.0,0.06999999999999999,0.06999999999999999,Winter,No Holiday,Yes,321
155,2017-12-07,12,Thursday,0,11,Morning,2.3,69,1.7,628,-2.8,0.63,0.0,0.06,0.06,Winter,No Holiday,Yes,333
156,2017-12-07,12,Thursday,0,12,Morning,3.7,65,2.4,833,-2.2,0.98,0.0,0.03,0.03,Winter,No Holiday,Yes,431
157,2017-12-07,12,Thursday,0,13,Afternoon,4.1,37,3.1,1767,-9.3,1.14,0.0,0.0,0.0,Winter,No Holiday,Yes,394
158,2017-12-07,12,Thursday,0,14,Afternoon,4.4,36,2.7,1975,-9.4,1.04,0.0,0.0,0.0,Winter,No Holiday,Yes,390
159,2017-12-07,12,Thursday,0,15,Afternoon,4.0,35,3.1,1962,-10.1,0.84,0.0,0.0,0.0,Winter,No Holiday,Yes,430
160,2017-12-07,12,Thursday,0,16,Afternoon,3.2,38,2.9,1817,-9.7,0.51,0.0,0.0,0.0,Winter,No Holiday,Yes,471
161,2017-12-07,12,Thursday,0,17,Afternoon,2.1,50,2.0,1434,-7.2,0.15,0.0,0.0,0.0,Winter,No Holiday,Yes,552
162,2017-12-07,12,Thursday,0,18,Evening,0.7,46,2.7,1558,-9.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,795
163,2017-12-07,12,Thursday,0,19,Evening,-0.4,47,2.5,1269,-10.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,507
164,2017-12-07,12,Thursday,0,20,Evening,-1.4,47,2.5,1620,-11.2,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,390
165,2017-12-07,12,Thursday,0,21,Evening,-2.2,46,2.2,1975,-12.2,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,402
166,2017-12-07,12,Thursday,0,22,Night,-2.7,48,2.6,1844,-12.2,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,389
167,2017-12-07,12,Thursday,0,23,Night,-3.2,50,2.1,1887,-12.1,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,259
168,2017-12-08,12,Friday,0,0,Dawn,-3.5,49,2.6,1893,-12.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,233
169,2017-12-08,12,Friday,0,1,Dawn,-3.7,50,2.5,1902,-12.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,230
170,2017-12-08,12,Friday,0,2,Dawn,-4.3,53,1.0,1918,-12.4,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,131
171,2017-12-08,12,Friday,0,3,Dawn,-4.8,52,1.6,1978,-13.1,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,99
172,2017-12-08,12,Friday,0,4,Dawn,-5.3,53,2.4,1936,-13.4,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,71
173,2017-12-08,12,Friday,0,5,Dawn,-5.8,56,2.0,1941,-13.1,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,84
174,2017-12-08,12,Friday,0,6,Dawn,-6.0,56,3.5,1853,-13.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,158
175,2017-12-08,12,Friday,0,7,Early Morning,-6.5,57,0.8,1776,-13.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,387
176,2017-12-08,12,Friday,0,8,Early Morning,-7.0,59,0.8,1559,-13.6,0.01,0.0,0.0,0.0,Winter,No Holiday,Yes,780
177,2017-12-08,12,Friday,0,9,Early Morning,-6.7,50,0.9,1492,-15.4,0.23,0.0,0.0,0.0,Winter,No Holiday,Yes,395
178,2017-12-08,12,Friday,0,10,Morning,-5.3,44,2.8,1516,-15.6,0.63,0.0,0.0,0.0,Winter,No Holiday,Yes,261
179,2017-12-08,12,Friday,0,11,Morning,-3.7,39,1.4,1595,-15.6,0.93,0.0,0.0,0.0,Winter,No Holiday,Yes,310
180,2017-12-08,12,Friday,0,12,Morning,-2.0,30,1.4,1728,-17.3,1.14,0.0,0.0,0.0,Winter,No Holiday,Yes,355
181,2017-12-08,12,Friday,0,13,Afternoon,-1.7,28,1.8,1963,-17.8,1.22,0.0,0.0,0.0,Winter,No Holiday,Yes,354
182,2017-12-08,12,Friday,0,14,Afternoon,-1.3,27,3.1,1906,-17.9,1.12,0.0,0.0,0.0,Winter,No Holiday,Yes,350
