id,Date,month,dayname,weekend,Hour,Hour_cat,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (mm),WEP (mm),Seasons,Holiday,Functioning Day,Rented Bike Count
14704,2018-08-26,8,Sunday,1,15,Afternoon,24.3,64,1.8,1931,17.0,0.59,0.0,0.0,0.0,Summer,No Holiday,Yes,782
15463,2018-04-21,4,Saturday,1,12,Morning,24.3,14,3.3,1701,-4.9,3.19,0.0,0.0,0.0,Spring,No Holiday,Yes,1130
17439,2018-11-03,11,Saturday,1,2,Dawn,7.6,68,1.2,1170,2.0,0.0,0.0,0.0,0.0,Autumn,No Holiday,No,0
12068,2018-02-23,2,Friday,0,10,Morning,2.2,83,0.8,221,-0.3,0.92,0.0,0.37,0.37,Winter,No Holiday,Yes,184
16496,2018-10-31,10,Wednesday,0,6,Dawn,3.6,75,0.8,2000,-0.4,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,402
15618,2018-03-07,3,Wednesday,0,10,Morning,5.2,52,1.5,1808,-3.8,0.74,0.0,0.0,0.0,Spring,No Holiday,Yes,410
12186,2018-06-10,6,Sunday,1,3,Dawn,18.6,78,0.8,1997,14.6,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,150
11590,2018-02-14,2,Wednesday,0,6,Dawn,1.1,66,0.9,1550,-4.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,108
18106,2017-12-24,12,Sunday,1,0,Dawn,5.6,78,0.6,196,2.0,0.0,0.0,0.0,0.0,Winter,Holiday,Yes,266
13028,2018-10-24,10,Wednesday,0,21,Evening,12.1,67,1.0,1977,6.1,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,1464
18000,2017-12-03,12,Sunday,1,7,Early Morning,3.1,91,1.2,129,1.7,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,22
11126,2018-08-01,8,Wednesday,0,8,Early Morning,30.3,59,0.8,1920,21.3,1.02,0.0,0.0,0.0,Summer,No Holiday,Yes,1550
17826,2018-08-04,8,Saturday,1,19,Evening,32.0,57,2.9,2000,22.4,0.48,0.0,0.0,0.0,Summer,No Holiday,Yes,1277
14847,2018-01-20,1,Saturday,1,14,Afternoon,5.9,61,3.2,623,-1.0,0.52,0.0,0.0,0.0,Winter,No Holiday,Yes,334
18454,2018-05-18,5,Friday,0,7,Early Morning,16.6,98,0.6,219,16.2,0.01,0.5,0.0,0.5,Spring,No Holiday,Yes,210
17003,2018-02-09,2,Friday,0,0,Dawn,-4.6,38,0.1,1551,-16.7,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,178
18372,2018-02-15,2,Thursday,0,13,Afternoon,2.2,18,3.4,1942,-19.7,2.3,0.0,0.0,0.0,Winter,Holiday,Yes,240
16933,2018-04-14,4,Saturday,1,9,Early Morning,7.5,94,1.5,506,6.5,0.15,1.5,0.0,1.5,Spring,No Holiday,Yes,17
12240,2018-03-04,3,Sunday,1,7,Early Morning,8.4,97,2.6,122,7.9,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,23
17585,2018-10-08,10,Monday,0,12,Morning,19.2,31,0.5,1994,1.6,2.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,1238
12700,2018-10-18,10,Thursday,0,21,Evening,12.6,60,0.5,2000,5.0,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,1466
12020,2018-02-12,2,Monday,0,11,Morning,-6.1,25,2.8,1976,-22.9,1.28,0.0,0.0,0.0,Winter,No Holiday,Yes,190
10797,2018-07-19,7,Thursday,0,18,Evening,33.0,51,2.4,1566,21.5,1.23,0.0,0.0,0.0,Summer,No Holiday,Yes,2640
14676,2018-03-11,3,Sunday,1,22,Night,5.3,31,2.3,1842,-10.5,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,419
11749,2018-11-08,11,Thursday,0,19,Evening,12.8,97,0.9,245,12.3,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,19
11504,2018-09-13,9,Thursday,0,1,Dawn,21.5,65,1.0,2000,14.6,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,736
10183,2018-02-16,2,Friday,0,17,Afternoon,2.5,48,4.2,1979,-7.4,0.76,0.0,0.0,0.0,Winter,Holiday,Yes,210
15616,2018-05-03,5,Thursday,0,17,Afternoon,13.2,49,4.2,1999,2.7,0.69,0.0,0.0,0.0,Spring,No Holiday,Yes,1421
13694,2018-10-29,10,Monday,0,8,Early Morning,5.1,67,0.3,1981,-0.5,0.24,0.0,0.0,0.0,Autumn,No Holiday,Yes,1888
16425,2018-08-14,8,Tuesday,0,4,Dawn,28.1,71,0.4,2000,22.3,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,209
16677,2018-06-01,6,Friday,0,9,Early Morning,23.1,52,1.7,1012,12.6,1.88,0.0,0.0,0.0,Summer,No Holiday,Yes,1219
14319,2018-11-28,11,Wednesday,0,0,Dawn,5.1,36,2.2,774,-8.7,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,450
15900,2018-09-22,9,Saturday,1,8,Early Morning,18.2,86,0.0,858,15.8,0.48,0.0,0.0,0.0,Autumn,No Holiday,Yes,654
15244,2018-02-25,2,Sunday,1,18,Evening,5.2,30,2.8,1877,-11.0,0.36,0.0,0.0,0.0,Winter,No Holiday,Yes,402
15588,2018-08-26,8,Sunday,1,7,Early Morning,20.7,85,0.5,1052,18.0,0.11,0.0,0.0,0.0,Summer,No Holiday,Yes,381
17213,2018-11-09,11,Friday,0,21,Evening,11.4,74,1.9,498,6.9,0.0,0.0,0.0,0.0,Autumn,No Holiday,No,0
10465,2018-07-08,7,Sunday,1,6,Dawn,17.8,58,1.1,2000,9.4,0.04,0.0,0.0,0.0,Summer,No Holiday,Yes,267
17465,2018-08-28,8,Tuesday,0,19,Evening,23.9,98,0.8,1792,23.5,0.0,7.0,0.0,7.0,Summer,No Holiday,Yes,84
16236,2017-12-16,12,Saturday,1,0,Dawn,-2.6,73,3.4,787,-6.7,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,217
16279,2018-10-13,10,Saturday,1,21,Evening,12.6,56,1.1,1053,4.0,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,1312
17623,2018-05-13,5,Sunday,1,10,Morning,15.2,88,2.2,1090,13.2,0.55,0.0,0.0,0.0,Spring,No Holiday,Yes,716
12272,2017-12-28,12,Thursday,0,16,Afternoon,0.3,57,2.3,1204,-7.2,0.19,0.0,0.0,0.0,Winter,No Holiday,Yes,390
14447,2018-07-30,7,Monday,0,21,Evening,33.1,48,1.1,2000,20.6,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,1875
15784,2018-03-29,3,Thursday,0,2,Dawn,12.9,83,1.6,369,10.0,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,254
11925,2018-01-19,1,Friday,0,0,Dawn,0.3,45,1.8,1154,-10.2,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,211
11003,2018-08-06,8,Monday,0,17,Afternoon,35.0,53,1.5,1618,23.9,1.78,0.0,0.0,0.0,Summer,No Holiday,Yes,1063
12214,2018-04-01,4,Sunday,1,21,Evening,16.9,81,1.9,472,13.6,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,983
16147,2017-12-18,12,Monday,0,4,Dawn,-5.4,81,0.7,270,-8.1,0.0,0.0,0.06999999999999999,0.06999999999999999,Winter,No Holiday,Yes,29
11883,2017-12-25,12,Monday,0,2,Dawn,-1.8,53,4.1,1825,-10.1,0.0,0.0,0.0,0.0,Winter,Holiday,Yes,115
11058,2018-10-10,10,Wednesday,0,16,Afternoon,13.8,43,3.7,2000,1.4,0.74,0.0,0.0,0.0,Autumn,No Holiday,Yes,1363
17765,2018-02-04,2,Sunday,1,10,Morning,-11.2,43,3.5,1359,-21.3,1.04,0.0,0.0,0.0,Winter,No Holiday,Yes,103
17963,2018-08-05,8,Sunday,1,16,Afternoon,33.6,57,3.5,1901,23.8,2.19,0.0,0.0,0.0,Summer,No Holiday,Yes,818
13430,2018-01-26,1,Friday,0,13,Afternoon,-13.3,28,2.7,1889,-27.9,1.26,0.0,0.05,0.05,Winter,No Holiday,Yes,115
15990,2018-11-20,11,Tuesday,0,5,Dawn,0.7,49,0.4,1998,-8.8,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,141
10571,2018-07-26,7,Thursday,0,13,Afternoon,32.4,54,0.7,896,21.8,1.41,0.0,0.0,0.0,Summer,No Holiday,Yes,628
16524,2018-04-18,4,Wednesday,0,10,Morning,13.7,26,2.3,1476,-5.4,2.25,0.0,0.0,0.0,Spring,No Holiday,Yes,761
17800,2017-12-25,12,Monday,0,22,Night,-1.3,53,1.7,2000,-9.6,0.0,0.0,0.0,0.0,Winter,Holiday,Yes,176
16574,2018-09-06,9,Thursday,0,1,Dawn,21.9,85,0.2,1410,19.2,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,743
11423,2018-04-30,4,Monday,0,3,Dawn,14.3,61,1.0,475,6.8,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,157
15963,2018-07-09,7,Monday,0,20,Evening,20.3,95,0.8,1372,19.4,0.02,1.0,0.0,1.0,Summer,No Holiday,Yes,48
10207,2018-11-29,11,Thursday,0,14,Afternoon,6.0,27,0.6,1452,-11.6,0.34,0.0,0.0,0.0,Autumn,No Holiday,Yes,668
15091,2018-04-21,4,Saturday,1,23,Night,16.0,33,0.5,1996,-0.2,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,988
17791,2017-12-08,12,Friday,0,16,Afternoon,-1.1,24,3.4,2000,-19.1,0.56,0.0,0.0,0.0,Winter,No Holiday,Yes,401
13787,2018-04-20,4,Friday,0,2,Dawn,11.7,63,0.5,904,4.8,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,305
17645,2018-07-27,7,Friday,0,11,Morning,32.7,56,1.9,1034,22.7,2.57,0.0,0.0,0.0,Summer,No Holiday,Yes,619
12793,2017-12-24,12,Sunday,1,14,Afternoon,3.3,90,2.5,561,1.8,0.19,0.0,0.0,0.0,Winter,Holiday,Yes,28
16066,2018-06-10,6,Sunday,1,0,Dawn,20.2,66,1.5,2000,13.6,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,483
16001,2018-05-24,5,Thursday,0,14,Afternoon,23.2,36,4.9,1597,7.2,3.18,0.0,0.0,0.0,Spring,No Holiday,Yes,1059
10258,2018-09-02,9,Sunday,1,6,Dawn,20.2,66,1.0,2000,13.6,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,249
10301,2018-02-15,2,Thursday,0,22,Night,-1.9,30,0.8,2000,-17.2,0.0,0.0,0.0,0.0,Winter,Holiday,Yes,145
18484,2018-01-03,1,Wednesday,0,1,Dawn,-5.0,42,1.2,1993,-15.9,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,130
13784,2018-08-17,8,Friday,0,18,Evening,32.5,28,1.4,2000,11.6,1.06,0.0,0.0,0.0,Summer,No Holiday,Yes,2797
14833,2018-05-09,5,Wednesday,0,22,Night,15.9,60,2.6,2000,8.1,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,1602
15712,2018-08-16,8,Thursday,0,8,Early Morning,28.2,68,1.3,2000,21.7,0.41,0.0,0.0,0.0,Summer,No Holiday,Yes,1660
14073,2018-06-27,6,Wednesday,0,4,Dawn,19.2,97,1.0,217,18.7,0.0,0.5,0.0,0.5,Summer,No Holiday,Yes,110
10573,2018-01-29,1,Monday,0,17,Afternoon,-5.7,30,3.6,1978,-20.5,0.4,0.0,0.0,0.0,Winter,No Holiday,Yes,239
14201,2018-03-07,3,Wednesday,0,7,Early Morning,2.2,65,1.9,2000,-3.7,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,598
16072,2018-04-02,4,Monday,0,11,Morning,18.5,61,1.6,1301,10.8,0.95,0.0,0.0,0.0,Spring,No Holiday,Yes,662
18062,2018-08-08,8,Wednesday,0,19,Evening,32.6,60,3.5,1982,23.8,0.37,0.0,0.0,0.0,Summer,No Holiday,Yes,1983
10367,2018-06-01,6,Friday,0,0,Dawn,20.1,63,1.1,1698,12.8,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,963
14175,2018-04-26,4,Thursday,0,3,Dawn,11.3,66,1.0,1506,5.1,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,239
11353,2018-06-04,6,Monday,0,10,Morning,25.1,40,2.7,1076,10.5,2.37,0.0,0.0,0.0,Summer,No Holiday,Yes,970
12287,2018-11-22,11,Thursday,0,16,Afternoon,5.9,34,2.9,1985,-8.7,0.55,0.0,0.0,0.0,Autumn,No Holiday,Yes,759
18303,2018-01-15,1,Monday,0,1,Dawn,3.0,62,0.9,835,-3.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,122
11302,2018-08-02,8,Thursday,0,9,Early Morning,32.9,49,1.8,1843,20.7,1.53,0.0,0.0,0.0,Summer,No Holiday,Yes,813
16934,2018-01-01,1,Monday,0,6,Dawn,-4.5,51,1.1,2000,-13.1,0.0,0.0,0.0,0.0,Winter,Holiday,Yes,65
12241,2017-12-10,12,Sunday,1,17,Afternoon,3.6,65,4.3,1061,-2.3,0.03,0.0,0.04,0.04,Winter,No Holiday,Yes,226
10882,2018-03-23,3,Friday,0,6,Dawn,2.3,80,0.7,546,-0.8,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,243
13043,2018-05-17,5,Thursday,0,7,Early Morning,19.1,98,0.3,125,18.7,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,80
11253,2018-01-06,1,Saturday,1,8,Early Morning,-6.5,62,1.1,1503,-12.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,186
12154,2018-10-28,10,Sunday,1,11,Morning,9.4,86,1.2,1220,7.1,0.75,0.0,0.0,0.0,Autumn,No Holiday,Yes,544
12545,2018-08-23,8,Thursday,0,16,Afternoon,31.7,56,1.9,2000,21.8,0.92,0.0,0.0,0.0,Summer,No Holiday,Yes,944
15464,2017-12-28,12,Thursday,0,3,Dawn,-6.0,32,2.5,2000,-20.0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,86
15974,2018-07-21,7,Saturday,1,5,Dawn,25.0,78,0.3,1474,20.8,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,292
11530,2018-01-16,1,Tuesday,0,0,Dawn,1.8,67,1.2,387,-3.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,212
16194,2018-08-29,8,Wednesday,0,17,Afternoon,24.6,93,0.9,1451,23.3,0.0,1.5,0.0,1.5,Summer,No Holiday,Yes,160
17962,2018-04-19,4,Thursday,0,4,Dawn,8.3,53,1.1,1007,-0.7,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,125
14867,2018-08-02,8,Thursday,0,10,Morning,34.4,46,2.0,1880,21.1,1.94,0.0,0.0,0.0,Summer,No Holiday,Yes,549
12347,2018-11-12,11,Monday,0,5,Dawn,4.0,71,0.0,2000,-0.7,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,158
12604,2018-08-07,8,Tuesday,0,7,Early Morning,27.0,69,0.8,2000,20.8,0.23,0.0,0.0,0.0,Summer,No Holiday,Yes,1059
11468,2018-04-08,4,Sunday,1,13,Afternoon,7.4,27,1.8,2000,-10.4,0.86,0.0,0.0,0.0,Spring,No Holiday,Yes,847
14030,2018-07-05,7,Thursday,0,10,Morning,25.6,75,1.1,1028,20.8,1.22,0.0,0.0,0.0,Summer,No Holiday,Yes,827
10832,2017-12-30,12,Saturday,1,16,Afternoon,4.1,63,0.7,263,-2.3,0.13,0.0,0.0,0.0,Winter,No Holiday,Yes,345
12769,2017-12-25,12,Monday,0,13,Afternoon,-1.5,33,3.8,2000,-15.7,1.18,0.0,0.0,0.0,Winter,Holiday,Yes,244
11061,2018-08-30,8,Thursday,0,20,Evening,24.9,70,1.2,1377,19.0,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,1685
18134,2018-06-03,6,Sunday,1,3,Dawn,18.0,64,1.3,1560,11.0,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,437
10310,2018-01-11,1,Thursday,0,20,Evening,-11.6,49,1.8,1953,-20.1,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,177
15398,2018-03-10,3,Saturday,1,10,Morning,3.5,65,2.4,539,-2.4,0.87,0.0,0.0,0.0,Spring,No Holiday,Yes,416
12765,2018-07-18,7,Wednesday,0,14,Afternoon,32.7,49,1.5,765,20.5,2.62,0.0,0.0,0.0,Summer,No Holiday,Yes,762
16818,2018-01-13,1,Saturday,1,7,Early Morning,-6.5,68,0.6,571,-11.4,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,43
10679,2017-12-04,12,Monday,0,23,Night,-5.8,44,2.4,2000,-16.1,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,248
14949,2018-08-08,8,Wednesday,0,20,Evening,31.0,66,2.9,1857,23.8,0.02,0.0,0.0,0.0,Summer,No Holiday,Yes,1822
14755,2018-04-25,4,Wednesday,0,8,Early Morning,8.8,37,0.9,1939,-5.1,0.89,0.0,0.0,0.0,Spring,No Holiday,Yes,1900
11903,2018-03-21,3,Wednesday,0,1,Dawn,1.5,40,2.8,2000,-10.6,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,223
11800,2018-09-12,9,Wednesday,0,22,Night,22.6,60,1.0,2000,14.4,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,1824
13983,2018-02-27,2,Tuesday,0,4,Dawn,0.9,46,0.8,1140,-9.4,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,62
14664,2018-06-12,6,Tuesday,0,0,Dawn,18.0,94,0.7,1906,17.0,0.0,1.0,0.0,1.0,Summer,No Holiday,Yes,470
14438,2018-11-02,11,Friday,0,4,Dawn,5.2,74,1.3,1386,0.9,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,166
17045,2018-02-10,2,Saturday,1,23,Night,-6.7,35,2.1,2000,-19.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,118
17253,2018-03-21,3,Wednesday,0,23,Night,1.5,86,1.2,1495,-0.5,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,226
12196,2018-04-11,4,Wednesday,0,15,Afternoon,17.0,28,3.5,1804,-1.6,2.9,0.0,0.0,0.0,Spring,No Holiday,No,0
17179,2017-12-03,12,Sunday,1,16,Afternoon,7.6,77,1.6,399,3.8,0.2,0.0,0.0,0.0,Winter,No Holiday,Yes,598
14636,2018-07-13,7,Friday,0,21,Evening,27.2,80,2.3,1870,23.4,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,1924
10751,2018-01-05,1,Friday,0,7,Early Morning,-5.3,53,1.1,1300,-13.4,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,327
18092,2018-11-18,11,Sunday,1,7,Early Morning,2.1,56,0.7,1477,-5.7,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,191
10269,2018-09-06,9,Thursday,0,14,Afternoon,27.9,47,3.2,1869,15.5,1.65,0.0,0.0,0.0,Autumn,No Holiday,Yes,1032
13946,2018-11-22,11,Thursday,0,8,Early Morning,-1.2,33,0.5,2000,-15.4,0.04,0.0,0.0,0.0,Autumn,No Holiday,Yes,1671
15155,2018-09-30,9,Sunday,1,7,Early Morning,15.1,81,0.8,1939,11.8,0.03,0.0,0.0,0.0,Autumn,No Holiday,No,0
15090,2018-05-01,5,Tuesday,0,0,Dawn,18.3,78,0.8,349,14.3,0.0,0.0,0.0,0.0,Spring,Holiday,Yes,782
11236,2018-04-14,4,Saturday,1,3,Dawn,12.1,41,1.0,2000,-0.7,0.0,0.2,0.0,0.2,Spring,No Holiday,Yes,62
17434,2018-01-02,1,Tuesday,0,20,Evening,-1.9,26,2.2,2000,-18.9,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,364
11997,2017-12-24,12,Sunday,1,15,Afternoon,2.9,90,2.0,380,1.4,0.08,3.5,0.0,3.5,Winter,Holiday,Yes,38
15445,2018-02-25,2,Sunday,1,20,Evening,1.3,49,2.8,1683,-8.2,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,232
14475,2018-03-02,3,Friday,0,10,Morning,-1.8,30,2.1,1608,-17.1,1.59,0.0,0.0,0.0,Spring,No Holiday,Yes,274
13306,2018-10-17,10,Wednesday,0,8,Early Morning,9.2,68,0.2,952,3.5,0.28,0.0,0.0,0.0,Autumn,No Holiday,Yes,2202
14288,2018-08-23,8,Thursday,0,7,Early Morning,28.3,55,1.1,2000,18.3,0.03,0.0,0.0,0.0,Summer,No Holiday,Yes,720
12350,2018-11-15,11,Thursday,0,5,Dawn,5.3,78,1.4,952,1.7,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,172
10607,2018-10-09,10,Tuesday,0,7,Early Morning,10.9,70,0.7,2000,5.6,0.0,0.0,0.0,0.0,Autumn,Holiday,No,0
11665,2018-03-18,3,Sunday,1,2,Dawn,5.5,56,1.2,1067,-2.5,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,226
10586,2018-04-14,4,Saturday,1,21,Evening,9.1,76,3.5,1113,5.0,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,633
14171,2018-07-14,7,Saturday,1,7,Early Morning,24.9,81,0.3,1289,21.4,0.24,0.0,0.0,0.0,Summer,No Holiday,Yes,537
18216,2018-02-15,2,Thursday,0,2,Dawn,-1.2,35,2.2,2000,-14.7,0.0,0.0,0.0,0.0,Winter,Holiday,Yes,112
10044,2018-10-02,10,Tuesday,0,6,Dawn,10.6,81,0.0,1798,7.4,0.0,0.0,0.0,0.0,Autumn,No Holiday,No,0
14650,2018-08-26,8,Sunday,1,16,Afternoon,23.5,56,2.3,2000,14.2,0.5,0.1,0.0,0.1,Summer,No Holiday,Yes,1025
16141,2018-04-03,4,Tuesday,0,22,Night,16.0,85,2.0,409,13.4,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,1030
11557,2018-07-05,7,Thursday,0,0,Dawn,24.2,77,1.8,1365,19.9,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,1078
13913,2018-04-29,4,Sunday,1,21,Evening,16.1,44,1.2,913,3.8,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,1382
16135,2018-02-22,2,Thursday,0,17,Afternoon,4.6,52,3.9,1059,-4.4,0.5,0.0,0.0,0.0,Winter,No Holiday,Yes,465
15895,2018-03-24,3,Saturday,1,11,Morning,9.0,56,2.0,399,0.6,1.11,0.0,0.0,0.0,Spring,No Holiday,Yes,589
15774,2018-11-22,11,Thursday,0,12,Morning,5.9,23,2.8,1985,-13.7,1.88,0.0,0.0,0.0,Autumn,No Holiday,Yes,717
11731,2018-06-27,6,Wednesday,0,10,Morning,21.4,85,1.1,596,18.7,1.34,0.0,0.0,0.0,Summer,No Holiday,Yes,862
15034,2018-04-26,4,Thursday,0,20,Evening,14.4,50,2.7,1216,4.0,0.01,0.0,0.0,0.0,Spring,No Holiday,Yes,1531
16926,2018-03-05,3,Monday,0,10,Morning,4.4,80,1.8,2000,1.2,0.56,0.0,0.0,0.0,Spring,No Holiday,Yes,232
10956,2018-09-09,9,Sunday,1,23,Night,21.2,56,2.5,2000,12.0,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,941
14931,2018-06-04,6,Monday,0,3,Dawn,19.6,51,1.0,1923,9.1,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,244
17109,2018-11-07,11,Wednesday,0,9,Early Morning,11.2,86,1.0,372,8.9,0.09,0.5,0.0,0.5,Autumn,No Holiday,Yes,740
17061,2018-07-29,7,Sunday,1,2,Dawn,27.7,73,0.4,1832,22.4,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,511
13362,2018-04-29,4,Sunday,1,2,Dawn,10.9,56,1.2,1460,2.4,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,425
14809,2018-04-08,4,Sunday,1,8,Early Morning,2.9,53,1.5,1892,-5.7,0.68,0.0,0.0,0.0,Spring,No Holiday,Yes,332
11576,2018-01-19,1,Friday,0,5,Dawn,-1.4,47,1.4,1301,-11.2,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,61
10395,2018-01-28,1,Sunday,1,4,Dawn,-7.6,37,1.6,1966,-19.8,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,38
16696,2018-03-25,3,Sunday,1,1,Dawn,6.4,82,1.2,186,3.5,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,267
18253,2018-03-28,3,Wednesday,0,13,Afternoon,17.5,54,3.1,1065,8.0,1.63,0.0,0.0,0.0,Spring,No Holiday,Yes,723
16580,2018-08-08,8,Wednesday,0,22,Night,29.5,73,0.9,1936,24.1,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,1628
11873,2018-03-05,3,Monday,0,0,Dawn,7.6,88,2.5,1974,5.7,0.0,9.0,0.0,9.0,Spring,No Holiday,Yes,22
