Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,id
28/08/2018,84,19,23.9,98,0.8,1792,23.5,0.0,7.0,0.0,Summer,No Holiday,Yes,17465
16/12/2017,217,0,-2.6,73,3.4,787,-6.7,0.0,0.0,0.0,Winter,No Holiday,Yes,16236
13/10/2018,1312,21,12.6,56,1.1,1053,4.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,16279
13/05/2018,716,10,15.2,88,2.2,1090,13.2,0.55,0.0,0.0,Spring,No Holiday,Yes,17623
28/12/2017,390,16,0.3,57,2.3,1204,-7.2,0.19,0.0,0.0,Winter,No Holiday,Yes,12272
30/07/2018,1875,21,33.1,48,1.1,2000,20.6,0.0,0.0,0.0,Summer,No Holiday,Yes,14447
29/03/2018,254,2,12.9,83,1.6,369,10.0,0.0,0.0,0.0,Spring,No Holiday,Yes,15784
19/01/2018,211,0,0.3,45,1.8,1154,-10.2,0.0,0.0,0.0,Winter,No Holiday,Yes,11925
06/08/2018,1063,17,35.0,53,1.5,1618,23.9,1.78,0.0,0.0,Summer,No Holiday,Yes,11003
01/04/2018,983,21,16.9,81,1.9,472,13.6,0.0,0.0,0.0,Spring,No Holiday,Yes,12214
18/12/2017,29,4,-5.4,81,0.7,270,-8.1,0.0,0.0,0.7,Winter,No Holiday,Yes,16147
25/12/2017,115,2,-1.8,53,4.1,1825,-10.1,0.0,0.0,0.0,Winter,Holiday,Yes,11883
10/10/2018,1363,16,13.8,43,3.7,2000,1.4,0.74,0.0,0.0,Autumn,No Holiday,Yes,11058
04/02/2018,103,10,-11.2,43,3.5,1359,-21.3,1.04,0.0,0.0,Winter,No Holiday,Yes,17765
05/08/2018,818,16,33.6,57,3.5,1901,23.8,2.19,0.0,0.0,Summer,No Holiday,Yes,17963
26/01/2018,115,13,-13.3,28,2.7,1889,-27.9,1.26,0.0,0.5,Winter,No Holiday,Yes,13430
20/11/2018,141,5,0.7,49,0.4,1998,-8.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,15990
26/07/2018,628,13,32.4,54,0.7,896,21.8,1.41,0.0,0.0,Summer,No Holiday,Yes,10571
18/04/2018,761,10,13.7,26,2.3,1476,-5.4,2.25,0.0,0.0,Spring,No Holiday,Yes,16524
25/12/2017,176,22,-1.3,53,1.7,2000,-9.6,0.0,0.0,0.0,Winter,Holiday,Yes,17800
06/09/2018,743,1,21.9,85,0.2,1410,19.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,16574
30/04/2018,157,3,14.3,61,1.0,475,6.8,0.0,0.0,0.0,Spring,No Holiday,Yes,11423
09/07/2018,48,20,20.3,95,0.8,1372,19.4,0.02,1.0,0.0,Summer,No Holiday,Yes,15963
29/11/2018,668,14,6.0,27,0.6,1452,-11.6,0.34,0.0,0.0,Autumn,No Holiday,Yes,10207
21/04/2018,988,23,16.0,33,0.5,1996,-0.2,0.0,0.0,0.0,Spring,No Holiday,Yes,15091
08/12/2017,401,16,-1.1,24,3.4,2000,-19.1,0.56,0.0,0.0,Winter,No Holiday,Yes,17791
20/04/2018,305,2,11.7,63,0.5,904,4.8,0.0,0.0,0.0,Spring,No Holiday,Yes,13787
27/07/2018,619,11,32.7,56,1.9,1034,22.7,2.57,0.0,0.0,Summer,No Holiday,Yes,17645
24/12/2017,28,14,3.3,90,2.5,561,1.8,0.19,0.0,0.0,Winter,Holiday,Yes,12793
10/06/2018,483,0,20.2,66,1.5,2000,13.6,0.0,0.0,0.0,Summer,No Holiday,Yes,16066
24/05/2018,1059,14,23.2,36,4.9,1597,7.2,3.18,0.0,0.0,Spring,No Holiday,Yes,16001
02/09/2018,249,6,20.2,66,1.0,2000,13.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,10258
15/02/2018,145,22,-1.9,30,0.8,2000,-17.2,0.0,0.0,0.0,Winter,Holiday,Yes,10301
03/01/2018,130,1,-5.0,42,1.2,1993,-15.9,0.0,0.0,0.0,Winter,No Holiday,Yes,18484
17/08/2018,2797,18,32.5,28,1.4,2000,11.6,1.06,0.0,0.0,Summer,No Holiday,Yes,13784
09/05/2018,1602,22,15.9,60,2.6,2000,8.1,0.0,0.0,0.0,Spring,No Holiday,Yes,14833
16/08/2018,1660,8,28.2,68,1.3,2000,21.7,0.41,0.0,0.0,Summer,No Holiday,Yes,15712
27/06/2018,110,4,19.2,97,1.0,217,18.7,0.0,0.5,0.0,Summer,No Holiday,Yes,14073
29/01/2018,239,17,-5.7,30,3.6,1978,-20.5,0.4,0.0,0.0,Winter,No Holiday,Yes,10573
07/03/2018,598,7,2.2,65,1.9,2000,-3.7,0.0,0.0,0.0,Spring,No Holiday,Yes,14201
02/04/2018,662,11,18.5,61,1.6,1301,10.8,0.95,0.0,0.0,Spring,No Holiday,Yes,16072
08/08/2018,1983,19,32.6,60,3.5,1982,23.8,0.37,0.0,0.0,Summer,No Holiday,Yes,18062
01/06/2018,963,0,20.1,63,1.1,1698,12.8,0.0,0.0,0.0,Summer,No Holiday,Yes,10367
26/04/2018,239,3,11.3,66,1.0,1506,5.1,0.0,0.0,0.0,Spring,No Holiday,Yes,14175
04/06/2018,970,10,25.1,40,2.7,1076,10.5,2.37,0.0,0.0,Summer,No Holiday,Yes,11353
22/11/2018,759,16,5.9,34,2.9,1985,-8.7,0.55,0.0,0.0,Autumn,No Holiday,Yes,12287
15/01/2018,122,1,3.0,62,0.9,835,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,18303
02/08/2018,813,9,32.9,49,1.8,1843,20.7,1.53,0.0,0.0,Summer,No Holiday,Yes,11302
01/01/2018,65,6,-4.5,51,1.1,2000,-13.1,0.0,0.0,0.0,Winter,Holiday,Yes,16934
10/12/2017,226,17,3.6,65,4.3,1061,-2.3,0.03,0.0,0.4,Winter,No Holiday,Yes,12241
23/03/2018,243,6,2.3,80,0.7,546,-0.8,0.0,0.0,0.0,Spring,No Holiday,Yes,10882
17/05/2018,80,7,19.1,98,0.3,125,18.7,0.0,0.0,0.0,Spring,No Holiday,Yes,13043
06/01/2018,186,8,-6.5,62,1.1,1503,-12.5,0.0,0.0,0.0,Winter,No Holiday,Yes,11253
28/10/2018,544,11,9.4,86,1.2,1220,7.1,0.75,0.0,0.0,Autumn,No Holiday,Yes,12154
23/08/2018,944,16,31.7,56,1.9,2000,21.8,0.92,0.0,0.0,Summer,No Holiday,Yes,12545
28/12/2017,86,3,-6.0,32,2.5,2000,-20.0,0.0,0.0,0.0,Winter,No Holiday,Yes,15464
21/07/2018,292,5,25.0,78,0.3,1474,20.8,0.0,0.0,0.0,Summer,No Holiday,Yes,15974
16/01/2018,212,0,1.8,67,1.2,387,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,11530
29/08/2018,160,17,24.6,93,0.9,1451,23.3,0.0,1.5,0.0,Summer,No Holiday,Yes,16194
19/04/2018,125,4,8.3,53,1.1,1007,-0.7,0.0,0.0,0.0,Spring,No Holiday,Yes,17962
02/08/2018,549,10,34.4,46,2.0,1880,21.1,1.94,0.0,0.0,Summer,No Holiday,Yes,14867
12/11/2018,158,5,4.0,71,0.0,2000,-0.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,12347
07/08/2018,1059,7,27.0,69,0.8,2000,20.8,0.23,0.0,0.0,Summer,No Holiday,Yes,12604
08/04/2018,847,13,7.4,27,1.8,2000,-10.4,0.86,0.0,0.0,Spring,No Holiday,Yes,11468
05/07/2018,827,10,25.6,75,1.1,1028,20.8,1.22,0.0,0.0,Summer,No Holiday,Yes,14030
30/12/2017,345,16,4.1,63,0.7,263,-2.3,0.13,0.0,0.0,Winter,No Holiday,Yes,10832
25/12/2017,244,13,-1.5,33,3.8,2000,-15.7,1.18,0.0,0.0,Winter,Holiday,Yes,12769
30/08/2018,1685,20,24.9,70,1.2,1377,19.0,0.0,0.0,0.0,Summer,No Holiday,Yes,11061
03/06/2018,437,3,18.0,64,1.3,1560,11.0,0.0,0.0,0.0,Summer,No Holiday,Yes,18134
11/01/2018,177,20,-11.6,49,1.8,1953,-20.1,0.0,0.0,0.0,Winter,No Holiday,Yes,10310
10/03/2018,416,10,3.5,65,2.4,539,-2.4,0.87,0.0,0.0,Spring,No Holiday,Yes,15398
18/07/2018,762,14,32.7,49,1.5,765,20.5,2.62,0.0,0.0,Summer,No Holiday,Yes,12765
13/01/2018,43,7,-6.5,68,0.6,571,-11.4,0.0,0.0,0.0,Winter,No Holiday,Yes,16818
04/12/2017,248,23,-5.8,44,2.4,2000,-16.1,0.0,0.0,0.0,Winter,No Holiday,Yes,10679
08/08/2018,1822,20,31.0,66,2.9,1857,23.8,0.02,0.0,0.0,Summer,No Holiday,Yes,14949
25/04/2018,1900,8,8.8,37,0.9,1939,-5.1,0.89,0.0,0.0,Spring,No Holiday,Yes,14755
21/03/2018,223,1,1.5,40,2.8,2000,-10.6,0.0,0.0,0.0,Spring,No Holiday,Yes,11903
12/09/2018,1824,22,22.6,60,1.0,2000,14.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,11800
27/02/2018,62,4,0.9,46,0.8,1140,-9.4,0.0,0.0,0.0,Winter,No Holiday,Yes,13983
12/06/2018,470,0,18.0,94,0.7,1906,17.0,0.0,1.0,0.0,Summer,No Holiday,Yes,14664
02/11/2018,166,4,5.2,74,1.3,1386,0.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,14438
10/02/2018,118,23,-6.7,35,2.1,2000,-19.6,0.0,0.0,0.0,Winter,No Holiday,Yes,17045
21/03/2018,226,23,1.5,86,1.2,1495,-0.5,0.0,0.0,0.0,Spring,No Holiday,Yes,17253
11/04/2018,0,15,17.0,28,3.5,1804,-1.6,2.9,0.0,0.0,Spring,No Holiday,No,12196
03/12/2017,598,16,7.6,77,1.6,399,3.8,0.2,0.0,0.0,Winter,No Holiday,Yes,17179
13/07/2018,1924,21,27.2,80,2.3,1870,23.4,0.0,0.0,0.0,Summer,No Holiday,Yes,14636
05/01/2018,327,7,-5.3,53,1.1,1300,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes,10751
18/11/2018,191,7,2.1,56,0.7,1477,-5.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,18092
06/09/2018,1032,14,27.9,47,3.2,1869,15.5,1.65,0.0,0.0,Autumn,No Holiday,Yes,10269
22/11/2018,1671,8,-1.2,33,0.5,2000,-15.4,0.04,0.0,0.0,Autumn,No Holiday,Yes,13946
30/09/2018,0,7,15.1,81,0.8,1939,11.8,0.03,0.0,0.0,Autumn,No Holiday,No,15155
01/05/2018,782,0,18.3,78,0.8,349,14.3,0.0,0.0,0.0,Spring,Holiday,Yes,15090
14/04/2018,62,3,12.1,41,1.0,2000,-0.7,0.0,0.2,0.0,Spring,No Holiday,Yes,11236
02/01/2018,364,20,-1.9,26,2.2,2000,-18.9,0.0,0.0,0.0,Winter,No Holiday,Yes,17434
24/12/2017,38,15,2.9,90,2.0,380,1.4,0.08,3.5,0.0,Winter,Holiday,Yes,11997
25/02/2018,232,20,1.3,49,2.8,1683,-8.2,0.0,0.0,0.0,Winter,No Holiday,Yes,15445
02/03/2018,274,10,-1.8,30,2.1,1608,-17.1,1.59,0.0,0.0,Spring,No Holiday,Yes,14475
17/10/2018,2202,8,9.2,68,0.2,952,3.5,0.28,0.0,0.0,Autumn,No Holiday,Yes,13306
23/08/2018,720,7,28.3,55,1.1,2000,18.3,0.03,0.0,0.0,Summer,No Holiday,Yes,14288
15/11/2018,172,5,5.3,78,1.4,952,1.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,12350
09/10/2018,0,7,10.9,70,0.7,2000,5.6,0.0,0.0,0.0,Autumn,Holiday,No,10607
18/03/2018,226,2,5.5,56,1.2,1067,-2.5,0.0,0.0,0.0,Spring,No Holiday,Yes,11665
14/04/2018,633,21,9.1,76,3.5,1113,5.0,0.0,0.0,0.0,Spring,No Holiday,Yes,10586
14/07/2018,537,7,24.9,81,0.3,1289,21.4,0.24,0.0,0.0,Summer,No Holiday,Yes,14171
15/02/2018,112,2,-1.2,35,2.2,2000,-14.7,0.0,0.0,0.0,Winter,Holiday,Yes,18216
02/10/2018,0,6,10.6,81,0.0,1798,7.4,0.0,0.0,0.0,Autumn,No Holiday,No,10044
26/08/2018,1025,16,23.5,56,2.3,2000,14.2,0.5,0.1,0.0,Summer,No Holiday,Yes,14650
03/04/2018,1030,22,16.0,85,2.0,409,13.4,0.0,0.0,0.0,Spring,No Holiday,Yes,16141
05/07/2018,1078,0,24.2,77,1.8,1365,19.9,0.0,0.0,0.0,Summer,No Holiday,Yes,11557
29/04/2018,1382,21,16.1,44,1.2,913,3.8,0.0,0.0,0.0,Spring,No Holiday,Yes,13913
22/02/2018,465,17,4.6,52,3.9,1059,-4.4,0.5,0.0,0.0,Winter,No Holiday,Yes,16135
24/03/2018,589,11,9.0,56,2.0,399,0.6,1.11,0.0,0.0,Spring,No Holiday,Yes,15895
22/11/2018,717,12,5.9,23,2.8,1985,-13.7,1.88,0.0,0.0,Autumn,No Holiday,Yes,15774
27/06/2018,862,10,21.4,85,1.1,596,18.7,1.34,0.0,0.0,Summer,No Holiday,Yes,11731
26/04/2018,1531,20,14.4,50,2.7,1216,4.0,0.01,0.0,0.0,Spring,No Holiday,Yes,15034
05/03/2018,232,10,4.4,80,1.8,2000,1.2,0.56,0.0,0.0,Spring,No Holiday,Yes,16926
09/09/2018,941,23,21.2,56,2.5,2000,12.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,10956
04/06/2018,244,3,19.6,51,1.0,1923,9.1,0.0,0.0,0.0,Summer,No Holiday,Yes,14931
07/11/2018,740,9,11.2,86,1.0,372,8.9,0.09,0.5,0.0,Autumn,No Holiday,Yes,17109
29/07/2018,511,2,27.7,73,0.4,1832,22.4,0.0,0.0,0.0,Summer,No Holiday,Yes,17061
29/04/2018,425,2,10.9,56,1.2,1460,2.4,0.0,0.0,0.0,Spring,No Holiday,Yes,13362
08/04/2018,332,8,2.9,53,1.5,1892,-5.7,0.68,0.0,0.0,Spring,No Holiday,Yes,14809
19/01/2018,61,5,-1.4,47,1.4,1301,-11.2,0.0,0.0,0.0,Winter,No Holiday,Yes,11576
28/01/2018,38,4,-7.6,37,1.6,1966,-19.8,0.0,0.0,0.0,Winter,No Holiday,Yes,10395
25/03/2018,267,1,6.4,82,1.2,186,3.5,0.0,0.0,0.0,Spring,No Holiday,Yes,16696
28/03/2018,723,13,17.5,54,3.1,1065,8.0,1.63,0.0,0.0,Spring,No Holiday,Yes,18253
08/08/2018,1628,22,29.5,73,0.9,1936,24.1,0.0,0.0,0.0,Summer,No Holiday,Yes,16580
05/03/2018,22,0,7.6,88,2.5,1974,5.7,0.0,9.0,0.0,Spring,No Holiday,Yes,11873
22/06/2018,602,2,19.8,80,1.5,370,16.2,0.0,0.0,0.0,Summer,No Holiday,Yes,17685
14/09/2018,1503,16,26.3,57,1.6,2000,17.0,0.72,0.0,0.0,Autumn,No Holiday,Yes,12567
19/11/2018,167,5,4.1,70,1.0,1100,-0.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,12183
20/12/2017,108,2,-7.8,68,0.9,1642,-12.6,0.0,0.0,2.0,Winter,No Holiday,Yes,15408
15/06/2018,72,4,18.0,93,1.6,627,16.8,0.0,10.5,0.0,Summer,No Holiday,Yes,12319
11/01/2018,33,4,-11.5,57,2.3,1899,-18.3,0.0,0.0,0.0,Winter,No Holiday,Yes,15794
16/08/2018,1446,23,25.0,44,2.2,2000,11.8,0.0,0.0,0.0,Summer,No Holiday,Yes,12890
18/02/2018,213,20,0.6,33,1.9,2000,-13.8,0.0,0.0,0.0,Winter,No Holiday,Yes,10517
18/05/2018,400,8,16.4,98,0.3,514,16.0,0.11,0.0,0.0,Spring,No Holiday,Yes,10081
03/05/2018,469,6,7.9,86,2.0,1070,5.6,0.01,0.0,0.0,Spring,No Holiday,Yes,14707
09/01/2018,265,14,-1.8,45,3.7,1922,-12.1,1.06,0.0,0.2,Winter,No Holiday,Yes,12017
20/11/2018,369,6,0.7,50,1.0,2000,-8.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,13437
09/03/2018,1231,18,7.0,55,2.0,705,-1.4,0.35,0.0,0.0,Spring,No Holiday,Yes,12112
13/04/2018,525,0,11.4,22,1.5,2000,-9.6,0.0,0.0,0.0,Spring,No Holiday,Yes,17682
24/03/2018,806,12,10.6,52,3.1,390,1.1,2.27,0.0,0.0,Spring,No Holiday,Yes,11335
30/01/2018,238,14,-1.1,46,2.1,1437,-11.2,0.72,0.0,0.0,Winter,No Holiday,Yes,12649
15/11/2018,1686,8,5.3,75,1.0,808,1.2,0.1,0.0,0.0,Autumn,No Holiday,Yes,12580
21/05/2018,2065,21,17.7,63,0.5,1324,10.5,0.0,0.0,0.0,Spring,No Holiday,Yes,11560
18/05/2018,2261,18,17.5,79,1.5,2000,13.8,0.57,0.0,0.0,Spring,No Holiday,Yes,18006
11/12/2017,125,0,-2.5,39,3.4,2000,-14.5,0.0,0.0,0.0,Winter,No Holiday,Yes,11119
29/05/2018,285,3,20.0,58,1.8,1279,11.4,0.0,0.0,0.0,Spring,No Holiday,Yes,12704
01/06/2018,1093,13,29.4,33,2.2,1535,11.4,3.3,0.0,0.0,Summer,No Holiday,Yes,12739
04/01/2018,221,23,-4.0,48,1.5,1536,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes,16785
01/08/2018,250,4,28.5,69,0.3,2000,22.2,0.0,0.0,0.0,Summer,No Holiday,Yes,13318
27/08/2018,1615,19,24.7,83,0.4,2000,21.6,0.1,0.0,0.0,Summer,No Holiday,Yes,14585
11/04/2018,0,1,13.6,81,3.6,886,10.3,0.0,0.0,0.0,Spring,No Holiday,No,10851
07/02/2018,320,17,-2.3,20,2.2,1994,-22.2,0.77,0.0,0.0,Winter,No Holiday,Yes,15598
20/07/2018,1426,23,28.2,70,1.3,1811,22.2,0.0,0.0,0.0,Summer,No Holiday,Yes,17088
31/07/2018,1091,7,27.9,60,1.1,1983,19.4,0.28,0.0,0.0,Summer,No Holiday,Yes,16488
30/09/2018,0,10,20.7,62,1.3,1679,13.1,1.41,0.0,0.0,Autumn,No Holiday,No,16044
27/02/2018,455,9,2.5,51,1.0,866,-6.6,0.07,0.0,0.0,Winter,No Holiday,Yes,11349
23/05/2018,1125,9,16.0,60,1.9,1992,8.2,1.98,0.0,0.0,Spring,No Holiday,Yes,10173
14/06/2018,453,2,20.8,73,0.8,829,15.7,0.0,0.0,0.0,Summer,No Holiday,Yes,11357
16/06/2018,1166,10,21.8,46,0.9,1927,9.6,2.46,0.0,0.0,Summer,No Holiday,Yes,13820
03/03/2018,55,5,0.8,39,1.0,1463,-11.6,0.0,0.0,0.0,Spring,No Holiday,Yes,14983
10/03/2018,421,22,5.0,75,2.2,1084,0.9,0.0,0.0,0.0,Spring,No Holiday,Yes,13822
27/02/2018,353,12,5.4,37,0.7,815,-8.1,0.43,0.0,0.0,Winter,No Holiday,Yes,17382
08/01/2018,46,4,1.0,43,0.8,1253,-10.2,0.0,0.0,0.0,Winter,No Holiday,Yes,14651
06/04/2018,56,0,7.2,95,0.9,861,6.4,0.0,0.5,0.0,Spring,No Holiday,Yes,15175
02/11/2018,1906,8,4.7,72,1.0,1306,0.0,0.12,0.0,0.0,Autumn,No Holiday,Yes,11446
05/12/2017,244,23,-2.5,59,0.0,1210,-9.4,0.0,0.0,0.0,Winter,No Holiday,Yes,13327
25/06/2018,338,5,21.5,84,0.3,569,18.6,0.0,0.0,0.0,Summer,No Holiday,Yes,15098
16/05/2018,502,1,24.1,67,0.5,686,17.5,0.0,0.0,0.0,Spring,No Holiday,Yes,11348
06/08/2018,569,11,31.3,70,1.0,1227,25.1,1.89,0.0,0.0,Summer,No Holiday,Yes,11611
22/07/2018,565,14,37.4,34,2.3,1860,18.8,3.05,0.0,0.0,Summer,No Holiday,Yes,15013
24/05/2018,1390,7,12.5,61,1.3,1818,5.1,0.42,0.0,0.0,Spring,No Holiday,Yes,17263
02/02/2018,382,17,2.0,25,2.3,1998,-16.0,0.34,0.0,0.0,Winter,No Holiday,Yes,15078
06/07/2018,1216,12,25.7,57,1.9,2000,16.5,2.32,0.0,0.0,Summer,No Holiday,Yes,16219
25/07/2018,1767,22,28.8,76,2.8,1231,24.1,0.0,0.0,0.0,Summer,No Holiday,Yes,13293
05/05/2018,759,9,16.1,50,2.6,1628,5.6,1.52,0.0,0.0,Spring,No Holiday,Yes,15915
13/02/2018,291,22,2.6,57,3.1,2000,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes,13046
07/08/2018,1232,17,35.6,44,2.4,1860,21.4,1.69,0.0,0.0,Summer,No Holiday,Yes,10848
21/08/2018,788,14,28.5,58,2.6,1965,19.4,1.93,0.0,0.0,Summer,No Holiday,Yes,17863
30/08/2018,716,11,26.2,82,2.6,834,22.8,0.59,0.0,0.0,Summer,No Holiday,Yes,15659
23/09/2018,1591,17,24.1,41,2.4,2000,10.0,1.17,0.0,0.0,Autumn,Holiday,Yes,12646
15/09/2018,934,9,22.7,72,1.2,2000,17.3,0.59,0.0,0.0,Autumn,No Holiday,Yes,12299
07/03/2018,620,15,10.2,34,2.3,1919,-4.9,1.19,0.0,0.0,Spring,No Holiday,Yes,12590
18/09/2018,0,12,24.7,43,1.8,1809,11.2,1.75,0.0,0.0,Autumn,No Holiday,No,14798
